File Number,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.3.6,6.3.7,6.3.8,6.3.9,6.3.10,PBME,FE,
00001,0.998475,0.930767,0.999242,0.887011,0.937538,0.998078,0.997742,0.998324,0.998611,0.998740,0.887011,5.322067,
00002,0.998447,0.970034,0.999501,0.875762,0.942596,0.997159,0.998270,0.997797,0.998657,0.998946,0.875762,5.254571,
00003,0.997960,0.931978,0.999140,0.882075,0.940874,0.934052,0.998444,0.997256,0.997886,0.998869,0.882075,5.292452,
00004,0.997892,0.940516,0.999496,0.912868,0.942596,0.991445,0.998560,1.000000,0.999446,0.998320,0.912868,5.477205,
00005,0.998338,0.935955,0.999402,0.954203,0.942596,0.998289,0.997927,0.999186,0.998745,0.998626,0.935955,5.615729,
00006,0.998213,0.945573,0.999397,0.896677,0.937538,0.980067,0.998684,0.998237,0.997569,0.998637,0.896677,5.380060,
00007,0.997752,0.949935,0.998953,0.913116,0.932780,0.975485,0.998834,0.998199,0.998857,0.998388,0.913116,5.478697,
00008,0.998400,0.951185,0.999506,0.905979,0.940874,0.991613,0.998455,0.998829,0.997755,0.998791,0.905979,5.435877,
00009,0.997629,0.952054,0.999419,0.903393,0.939189,0.985662,0.998531,0.998285,0.997737,0.997973,0.903393,5.420356,
00010,0.998433,0.945890,0.999591,0.935947,0.934335,0.967828,0.998203,1.000000,0.998487,0.998853,0.934335,5.606008,
00011,0.998068,0.957264,0.999504,0.903374,0.934335,0.991850,0.998487,0.997414,0.997903,0.998218,0.903374,5.420245,
00012,0.998273,0.938069,0.998763,0.906845,0.939189,0.997991,0.997673,0.997872,0.998122,0.997739,0.906845,5.441069,
00013,0.998244,0.935169,0.999349,0.915997,0.940874,0.990200,0.998454,0.998278,0.999118,0.999326,0.915997,5.495980,
00014,0.997834,0.959427,0.999251,0.905844,0.940874,0.980067,0.996903,0.998775,0.997975,0.998416,0.905844,5.435066,
00015,0.997972,0.928326,0.999393,0.900071,0.935920,0.941834,0.997365,0.997528,0.998058,0.998746,0.900071,5.400427,
00016,0.998203,0.942802,0.999128,0.892909,0.939189,0.998464,0.998426,0.999191,0.998475,0.998421,0.892909,5.357453,
00017,0.997955,0.947311,0.999246,0.885190,0.937538,0.998381,0.998854,0.998447,0.997761,0.998475,0.885190,5.311140,
00018,0.998324,0.939397,0.999488,0.924539,0.934335,0.991613,0.999553,0.997958,0.999153,0.999972,0.924539,5.547233,
00019,0.998258,0.963733,0.999089,0.881998,0.942596,0.998452,0.999006,0.998496,0.998976,0.997806,0.881998,5.291989,
00020,0.998436,0.934398,0.999592,0.894072,0.937538,0.996796,0.999643,0.998760,0.998306,0.999668,0.894072,5.364430,
00021,0.998255,0.942114,0.999189,0.895505,0.937538,0.996100,0.998018,0.999605,0.998541,0.997904,0.895505,5.373028,
00022,0.998020,0.967416,0.999428,0.886272,0.939189,0.976020,0.998237,0.999899,0.998815,0.999191,0.886272,5.317633,
00023,0.998096,0.948374,0.999324,0.873721,0.935920,0.998482,0.999024,0.997933,0.998969,0.999037,0.873721,5.242326,
00024,0.998069,0.957742,0.999380,0.901327,0.940874,0.985357,0.998068,0.998734,0.998139,0.998570,0.901327,5.407965,
00025,0.997762,0.948057,0.999402,0.916441,0.942596,0.985662,0.999326,0.998507,0.999767,0.998465,0.916441,5.498647,
00026,0.997806,0.962857,0.999387,0.879103,0.935920,0.995065,0.997892,0.998736,0.998540,0.998207,0.879103,5.274619,
00027,0.998074,0.934981,0.999054,0.910546,0.937538,0.941834,0.998078,0.999010,0.998186,0.999022,0.910546,5.463274,
00028,0.998282,0.958515,0.999476,0.914505,0.935920,0.953827,0.998816,0.998008,0.999474,0.998597,0.914505,5.487032,
00029,0.998114,0.922365,0.997907,0.912624,0.939189,0.992980,0.999160,0.997539,0.997509,0.997282,0.912624,5.475742,
00030,0.997963,0.958686,0.999535,0.918202,0.937538,0.976020,0.998161,0.998933,0.999547,0.998837,0.918202,5.509210,
00031,0.997905,0.948694,0.999218,0.933327,0.942596,0.998200,0.999003,0.999687,0.999881,0.999131,0.933327,5.599960,
00032,0.998262,0.930158,0.999713,0.865132,0.940874,0.998423,0.999364,0.998566,0.998452,0.998786,0.865132,5.190794,
00033,0.998172,0.942788,0.999557,0.902933,0.942596,0.941834,0.997364,0.997801,0.999162,0.998609,0.902933,5.417600,
00034,0.997517,0.931558,0.998093,0.891622,0.935920,0.934052,0.998327,0.998085,0.997976,0.998653,0.891622,5.349732,
00035,0.998280,0.945852,0.999682,0.888916,0.937538,0.998491,0.999112,0.998873,0.998198,0.998422,0.888916,5.333497,
00036,0.997300,0.949136,0.998660,0.878553,0.940874,0.985357,0.998654,0.997819,0.997878,0.997992,0.878553,5.271319,
00037,0.998090,0.935425,0.998557,0.883163,0.942596,0.914169,0.998950,0.998370,0.998223,0.998258,0.883163,5.298976,
00038,0.997103,0.949136,0.999302,0.923063,0.940874,0.994885,0.997807,0.997498,0.998681,0.997306,0.923063,5.538380,
00039,0.997912,0.940770,0.999558,0.913043,0.937538,0.991445,0.998348,0.998663,0.999690,0.998422,0.913043,5.478258,
